article,question,question_chars,question_words
╨Ü╨░╨║ ╨╖╨░╤Ç╨░╨▒╨╛╤é╨░╤é╤î ╨╜╨░ ╨░╨║╤å╨╕╤Å╤à,**Что такое брокерский счет и как его открыть?**,48,8
╨Ü╨░╨║ ╨╖╨░╤Ç╨░╨▒╨╛╤é╨░╤é╤î ╨╜╨░ ╨░╨║╤å╨╕╤Å╤à,**Какие существуют способы заработка на акциях?**,49,6
╨Ü╨░╨║ ╨╖╨░╤Ç╨░╨▒╨╛╤é╨░╤é╤î ╨╜╨░ ╨░╨║╤å╨╕╤Å╤à,**Как выбрать акции для покупки?**,34,5
╨Ü╨░╨║ ╨╖╨░╤Ç╨░╨▒╨╛╤é╨░╤é╤î ╨╜╨░ ╨░╨║╤å╨╕╤Å╤à,**Какие существуют риски при инвестировании в акции?**,54,7
╨Ü╨░╨║ ╨╖╨░╤Ç╨░╨▒╨╛╤é╨░╤é╤î ╨╜╨░ ╨░╨║╤å╨╕╤Å╤à,**Какие инструменты и стратегии доступны для частных инвесторов?**,66,8
╨ƒ╨░╤Ç╨░╨╝╨╡╤é╤Ç╤ï ╤ü╤é╤Ç╨░╤é╨╡╨│╨╕╨╕ ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╤Å,Что такое автоследование в Т-Инвестициях?,41,5
╨ƒ╨░╤Ç╨░╨╝╨╡╤é╤Ç╤ï ╤ü╤é╤Ç╨░╤é╨╡╨│╨╕╨╕ ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╤Å,Почему реальная доходность подписчика может отличаться от доходности автора стратегии?,86,10
╨ƒ╨░╤Ç╨░╨╝╨╡╤é╤Ç╤ï ╤ü╤é╤Ç╨░╤é╨╡╨│╨╕╨╕ ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╤Å,Что такое емкость стратегии?,28,4
╨ƒ╨░╤Ç╨░╨╝╨╡╤é╤Ç╤ï ╤ü╤é╤Ç╨░╤é╨╡╨│╨╕╨╕ ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╤Å,Что такое уровень риска стратегии?,34,5
╨ƒ╨░╤Ç╨░╨╝╨╡╤é╤Ç╤ï ╤ü╤é╤Ç╨░╤é╨╡╨│╨╕╨╕ ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╤Å,Что такое точность следования?,30,4
╨₧╤ü╨╛╨▒╨╡╨╜╨╜╨╛╤ü╤é╨╕ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╤Å ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,Что такое брокерский счет и как его открыть?,44,8
╨₧╤ü╨╛╨▒╨╡╨╜╨╜╨╛╤ü╤é╨╕ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╤Å ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,Что такое сложный процент и как он работает?,44,8
╨₧╤ü╨╛╨▒╨╡╨╜╨╜╨╛╤ü╤é╨╕ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╤Å ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,Что такое статус квалифицированного инвестора и зачем он нужен?,63,9
╨₧╤ü╨╛╨▒╨╡╨╜╨╜╨╛╤ü╤é╨╕ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╤Å ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,Что такое сделки РЕПО и как они работают?,41,8
╨₧╤ü╨╛╨▒╨╡╨╜╨╜╨╛╤ü╤é╨╕ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╤Å ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,Что такое овернайт на брокерском счете и как это влияет на инвестора?,69,12
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨╕ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╛╨╕╠å,**Как открыть Инвесткопилку в приложении Т‑Банка?**,51,6
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨╕ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╛╨╕╠å,**Какие ограничения есть при использовании Инвесткопилки?**,59,6
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨╕ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╛╨╕╠å,**Как пополнить Инвесткопилку вручную?**,40,4
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨╕ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╛╨╕╠å,**Как настроить автопополнение Инвесткопилки?**,47,4
╨₧╤ü╨╛╨▒╨╡╨╜╨╜╨╛╤ü╤é╨╕ ╨╜╨░╨╗╨╛╨│╨╛╨╛╨▒╨╗╨╛╨╢╨╡╨╜╨╕╤Å ╨ÿ╨ÿ╨í,"**Как удерживается налог с доходов, полученных на ИИС?**",56,8
╨₧╤ü╨╛╨▒╨╡╨╜╨╜╨╛╤ü╤é╨╕ ╨╜╨░╨╗╨╛╨│╨╛╨╛╨▒╨╗╨╛╨╢╨╡╨╜╨╕╤Å ╨ÿ╨ÿ╨í,**Можно ли объединить убытки и доходы по ИИС и брокерским счетам?**,67,11
╨₧╤ü╨╛╨▒╨╡╨╜╨╜╨╛╤ü╤é╨╕ ╨╜╨░╨╗╨╛╨│╨╛╨╛╨▒╨╗╨╛╨╢╨╡╨╜╨╕╤Å ╨ÿ╨ÿ╨í,**Какие налоговые вычеты доступны по ИИС?**,43,6
╨₧╤ü╨╛╨▒╨╡╨╜╨╜╨╛╤ü╤é╨╕ ╨╜╨░╨╗╨╛╨│╨╛╨╛╨▒╨╗╨╛╨╢╨╡╨╜╨╕╤Å ╨ÿ╨ÿ╨í,**Как переносить убытки прошлых лет на ИИС?**,45,7
╨Ü╨░╨║ ╨╖╨░╨│╤Ç╤â╨╖╨╕╤é╤î ╨│╨╛╤é╨╛╨▓╤â╤Ä ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢ ╨▓ ╤ä╨╛╤Ç╨╝╨░╤é╨╡.xml,**Как можно авторизоваться в личном кабинете налогоплательщика для подачи декларации 3-НДФЛ?**,94,11
╨Ü╨░╨║ ╨╖╨░╨│╤Ç╤â╨╖╨╕╤é╤î ╨│╨╛╤é╨╛╨▓╤â╤Ä ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢ ╨▓ ╤ä╨╛╤Ç╨╝╨░╤é╨╡.xml,"**Какие действия нужно выполнить, чтобы получить электронную подпись (ЭП) для подачи декларации 3-НДФЛ?**",105,13
╨Ü╨░╨║ ╨╖╨░╨│╤Ç╤â╨╖╨╕╤é╤î ╨│╨╛╤é╨╛╨▓╤â╤Ä ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢ ╨▓ ╤ä╨╛╤Ç╨╝╨░╤é╨╡.xml,**Как правильно загрузить готовую декларацию 3-НДФЛ в формате .xml в личном кабинете налогоплательщика?**,105,13
╨Ü╨░╨║ ╨╖╨░╨│╤Ç╤â╨╖╨╕╤é╤î ╨│╨╛╤é╨╛╨▓╤â╤Ä ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢ ╨▓ ╤ä╨╛╤Ç╨╝╨░╤é╨╡.xml,**Какие документы необходимо загрузить после подачи декларации 3-НДФЛ?**,72,8
╨Ü╨░╨║ ╨╖╨░╨│╤Ç╤â╨╖╨╕╤é╤î ╨│╨╛╤é╨╛╨▓╤â╤Ä ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢ ╨▓ ╤ä╨╛╤Ç╨╝╨░╤é╨╡.xml,**Какие шаги нужно выполнить для завершения подачи декларации 3-НДФЛ?**,71,9
╨Ü╨░╨║ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗╨╛╨╝,Что такое виджеты и зачем они нужны в терминале Т‑Инвестиций?,61,10
╨Ü╨░╨║ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗╨╛╨╝,Для чего нужен виджет «Портфель»?,33,5
╨Ü╨░╨║ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗╨╛╨╝,Как работает виджет «Лента сигналов»?,37,5
╨Ü╨░╨║ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗╨╛╨╝,"Как быстро закрыть, перевернуть, увеличить или сократить позицию по активу?",75,10
╨Ü╨░╨║ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗╨╛╨╝,Как рассчитывается доходность портфеля в терминале Т‑Инвестиций?,64,7
╨₧╨▒ ╤â╨┐╤Ç╨░╨▓╨╗╤Å╤Ä╤ë╨╡╨╕╠å ╨║╨╛╨╝╨┐╨░╨╜╨╕╨╕ ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗,**Что такое управляющая компания и зачем она нужна инвестору?**,63,9
╨₧╨▒ ╤â╨┐╤Ç╨░╨▓╨╗╤Å╤Ä╤ë╨╡╨╕╠å ╨║╨╛╨╝╨┐╨░╨╜╨╕╨╕ ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗,**Какие преимущества инвестирования через управляющую компанию по сравнению с самостоятельными вложениями на бирже?**,117,13
╨₧╨▒ ╤â╨┐╤Ç╨░╨▓╨╗╤Å╤Ä╤ë╨╡╨╕╠å ╨║╨╛╨╝╨┐╨░╨╜╨╕╨╕ ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗,**Как управляющая компания удерживает комиссию за управление активами?**,72,8
╨₧╨▒ ╤â╨┐╤Ç╨░╨▓╨╗╤Å╤Ä╤ë╨╡╨╕╠å ╨║╨╛╨╝╨┐╨░╨╜╨╕╨╕ ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗,"**Что делать инвестору, если управляющая компания обанкротится?**",65,7
╨₧╨▒ ╤â╨┐╤Ç╨░╨▓╨╗╤Å╤Ä╤ë╨╡╨╕╠å ╨║╨╛╨╝╨┐╨░╨╜╨╕╨╕ ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗,**Застрахованы ли вложения в паевые инвестиционные фонды управляющей компании?**,80,9
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Что такое автоследование в Т-Инвестициях и зачем оно нужно?**,63,9
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Кто может стать автором стратегии автоследования в Т-Инвестициях?**,69,8
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Как технически выглядит процесс автоследования?**,51,5
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Какие риски существуют при автоследовании?**,46,5
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Как отключить автоследование?**,33,3
╨Ü╨░╨║ ╨▓ ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗╨╡ ╨▓╤ï╨▒╤Ç╨░╤é╤î ╨░╨║╤é╨╕╨▓╤ï ╨┤╨╗╤Å ╨▒╨╕╤Ç╨╢╨╡╨▓╨╛╨╕╠å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╨╕,**Как настроить уведомления об изменении цены актива в терминале Т⁠-⁠Инвестиций?**,82,10
╨Ü╨░╨║ ╨▓ ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗╨╡ ╨▓╤ï╨▒╤Ç╨░╤é╤î ╨░╨║╤é╨╕╨▓╤ï ╨┤╨╗╤Å ╨▒╨╕╤Ç╨╢╨╡╨▓╨╛╨╕╠å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╨╕,"**Что делать, если уведомления от терминала Т⁠-⁠Инвестиций не приходят в браузере?**",84,11
╨Ü╨░╨║ ╨▓ ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗╨╡ ╨▓╤ï╨▒╤Ç╨░╤é╤î ╨░╨║╤é╨╕╨▓╤ï ╨┤╨╗╤Å ╨▒╨╕╤Ç╨╢╨╡╨▓╨╛╨╕╠å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╨╕,**Как настроить уведомления в браузере Google Chrome для работы с терминалом Т⁠-⁠Инвестиций?**,94,12
╨Ü╨░╨║ ╤é╤Ç╨░╨╜╤ü╤ä╨╛╤Ç╨╝╨╕╤Ç╨╛╨▓╨░╤é╤î ╨ÿ╨ÿ╨í ╤ü╤é╨░╤Ç╨╛╨│╨╛ ╤é╨╕╨┐╨░ ╨▓ ╨╜╨╛╨▓╤ï╨╕╠å,**Что такое ИИС нового типа и чем он отличается от старого ИИС?**,65,12
╨Ü╨░╨║ ╤é╤Ç╨░╨╜╤ü╤ä╨╛╤Ç╨╝╨╕╤Ç╨╛╨▓╨░╤é╤î ╨ÿ╨ÿ╨í ╤ü╤é╨░╤Ç╨╛╨│╨╛ ╤é╨╕╨┐╨░ ╨▓ ╨╜╨╛╨▓╤ï╨╕╠å,**Каким образом можно трансформировать старый ИИС в новый ИИС (ИИС-3)?**,72,10
╨Ü╨░╨║ ╤é╤Ç╨░╨╜╤ü╤ä╨╛╤Ç╨╝╨╕╤Ç╨╛╨▓╨░╤é╤î ╨ÿ╨ÿ╨í ╤ü╤é╨░╤Ç╨╛╨│╨╛ ╤é╨╕╨┐╨░ ╨▓ ╨╜╨╛╨▓╤ï╨╕╠å,**В какой срок необходимо подать заявление о трансформации ИИС в налоговую службу?**,84,12
╨Ü╨░╨║ ╤é╤Ç╨░╨╜╤ü╤ä╨╛╤Ç╨╝╨╕╤Ç╨╛╨▓╨░╤é╤î ╨ÿ╨ÿ╨í ╤ü╤é╨░╤Ç╨╛╨│╨╛ ╤é╨╕╨┐╨░ ╨▓ ╨╜╨╛╨▓╤ï╨╕╠å,**Как правильно заполнить и подать заявление о трансформации ИИС в налоговую службу?**,86,12
╨ÿ╨ÿ╨í,Что такое ИИС?,14,3
╨ÿ╨ÿ╨í,Какие существуют типы налоговых вычетов по ИИС?,47,7
╨ÿ╨ÿ╨í,Можно ли частично вывести деньги с ИИС?,39,7
╨ÿ╨ÿ╨í,Как закрыть ИИС?,16,3
╨ÿ╨ÿ╨í,Как получить налоговый вычет по ИИС?,36,6
╨ñ╨╛╨╜╨┤╤ï ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какие преимущества инвестирования в фонды Т⁠-⁠Капитала по сравнению с самостоятельным инвестированием в акции и облигации?**,126,15
╨ñ╨╛╨╜╨┤╤ï ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какую минимальную сумму можно инвестировать в фонды Т⁠-⁠Капитала?**,69,8
╨ñ╨╛╨╜╨┤╤ï ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какие комиссии и расходы существуют при инвестировании в фонды Т⁠-⁠Капитала?**,80,10
╨ñ╨╛╨╜╨┤╤ï ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какие риски существуют при инвестировании в фонды недвижимости от Т⁠-⁠Капитала?**,83,10
╨ñ╨╛╨╜╨┤╤ï ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какие документы и подтверждения необходимы для подтверждения владения паями фондов Т⁠-⁠Капитала?**,100,11
╨Ü╨░╨║ ╨┐╨╛╨┐╨╛╨╗╨╜╨╕╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Какие способы пополнения брокерского счета доступны в Т‑Инвестициях?**,72,8
╨Ü╨░╨║ ╨┐╨╛╨┐╨╛╨╗╨╜╨╕╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Как пополнить брокерский счет через Систему быстрых платежей (СБП)?**,71,9
